week_ended,week_number,total_registrations,covid_registrations,covid_occurrences
2010-01-08,1,648,0,0
2010-01-15,2,612,0,0
2010-01-22,3,550,0,0
2010-01-29,4,555,0,0
2010-02-05,5,556,0,0
2010-02-12,6,553,0,0
2010-02-19,7,521,0,0
2010-02-26,8,471,0,0
2010-03-05,9,535,0,0
2010-03-12,10,512,0,0
2010-03-19,11,529,0,0
2010-03-26,12,498,0,0
2010-04-02,13,394,0,0
2010-04-09,14,517,0,0
2010-04-16,15,516,0,0
2010-04-23,16,486,0,0
2010-04-30,17,516,0,0
2010-05-07,18,444,0,0
2010-05-14,19,516,0,0
2010-05-21,20,502,0,0
2010-05-28,21,474,0,0
2010-06-04,22,457,0,0
2010-06-11,23,539,0,0
2010-06-18,24,450,0,0
2010-06-25,25,464,0,0
2010-07-02,26,446,0,0
2010-07-09,27,507,0,0
2010-07-16,28,444,0,0
2010-07-23,29,442,0,0
2010-07-30,30,453,0,0
2010-08-06,31,479,0,0
2010-08-13,32,417,0,0
2010-08-20,33,447,0,0
2010-08-27,34,471,0,0
2010-09-03,35,407,0,0
2010-09-10,36,446,0,0
2010-09-17,37,442,0,0
2010-09-24,38,468,0,0
2010-10-01,39,448,0,0
2010-10-08,40,501,0,0
2010-10-15,41,485,0,0
2010-10-22,42,506,0,0
2010-10-29,43,519,0,0
2010-11-05,44,491,0,0
2010-11-12,45,514,0,0
2010-11-19,46,498,0,0
2010-11-26,47,463,0,0
2010-12-03,48,458,0,0
2010-12-10,49,549,0,0
2010-12-17,50,558,0,0
2010-12-24,51,616,0,0
2010-12-31,52,527,0,0
2011-01-07,1,616,0,0
2011-01-14,2,654,0,0
2011-01-21,3,584,0,0
2011-01-28,4,537,0,0
2011-02-04,5,556,0,0
2011-02-11,6,526,0,0
2011-02-18,7,551,0,0
2011-02-25,8,575,0,0
2011-03-04,9,498,0,0
2011-03-11,10,526,0,0
2011-03-18,11,533,0,0
2011-03-25,12,496,0,0
2011-04-01,13,496,0,0
2011-04-08,14,478,0,0
2011-04-15,15,493,0,0
2011-04-22,16,411,0,0
2011-04-29,17,429,0,0
2011-05-06,18,543,0,0
2011-05-13,19,504,0,0
2011-05-20,20,496,0,0
2011-05-27,21,511,0,0
2011-06-03,22,441,0,0
2011-06-10,23,457,0,0
2011-06-17,24,472,0,0
2011-06-24,25,435,0,0
2011-07-01,26,479,0,0
2011-07-08,27,458,0,0
2011-07-15,28,432,0,0
2011-07-22,29,488,0,0
2011-07-29,30,469,0,0
2011-08-05,31,480,0,0
2011-08-12,32,483,0,0
2011-08-19,33,453,0,0
2011-08-26,34,417,0,0
2011-09-02,35,395,0,0
2011-09-09,36,481,0,0
2011-09-16,37,430,0,0
2011-09-23,38,445,0,0
2011-09-30,39,487,0,0
2011-10-07,40,437,0,0
2011-10-14,41,480,0,0
2011-10-21,42,437,0,0
2011-10-28,43,516,0,0
2011-11-04,44,507,0,0
2011-11-11,45,518,0,0
2011-11-18,46,495,0,0
2011-11-25,47,462,0,0
2011-12-02,48,496,0,0
2011-12-09,49,529,0,0
2011-12-16,50,543,0,0
2011-12-23,51,620,0,0
2011-12-30,52,443,0,0
2012-01-06,1,520,0,0
2012-01-13,2,611,0,0
2012-01-20,3,546,0,0
2012-01-27,4,556,0,0
2012-02-03,5,507,0,0
2012-02-10,6,493,0,0
2012-02-17,7,533,0,0
2012-02-24,8,563,0,0
2012-03-02,9,504,0,0
2012-03-09,10,533,0,0
2012-03-16,11,478,0,0
2012-03-23,12,507,0,0
2012-03-30,13,487,0,0
2012-04-06,14,450,0,0
2012-04-13,15,512,0,0
2012-04-20,16,584,0,0
2012-04-27,17,556,0,0
2012-05-04,18,538,0,0
2012-05-11,19,441,0,0
2012-05-18,20,505,0,0
2012-05-25,21,505,0,0
2012-06-01,22,514,0,0
2012-06-08,23,362,0,0
2012-06-15,24,539,0,0
2012-06-22,25,482,0,0
2012-06-29,26,508,0,0
2012-07-06,27,478,0,0
2012-07-13,28,441,0,0
2012-07-20,29,459,0,0
2012-07-27,30,496,0,0
2012-08-03,31,480,0,0
2012-08-10,32,469,0,0
2012-08-17,33,452,0,0
2012-08-24,34,460,0,0
2012-08-31,35,397,0,0
2012-09-07,36,450,0,0
2012-09-14,37,475,0,0
2012-09-21,38,518,0,0
2012-09-28,39,468,0,0
2012-10-05,40,471,0,0
2012-10-12,41,467,0,0
2012-10-19,42,510,0,0
2012-10-26,43,503,0,0
2012-11-02,44,459,0,0
2012-11-09,45,459,0,0
2012-11-16,46,507,0,0
2012-11-23,47,550,0,0
2012-11-30,48,539,0,0
2012-12-07,49,492,0,0
2012-12-14,50,543,0,0
2012-12-21,51,584,0,0
2012-12-28,52,421,0,0
2013-01-04,1,696,0,0
2013-01-11,2,732,0,0
2013-01-18,3,646,0,0
2013-01-25,4,607,0,0
2013-02-01,5,599,0,0
2013-02-08,6,565,0,0
2013-02-15,7,585,0,0
2013-02-22,8,554,0,0
2013-03-01,9,532,0,0
2013-03-08,10,529,0,0
2013-03-15,11,513,0,0
2013-03-22,12,517,0,0
2013-03-29,13,466,0,0
2013-04-05,14,516,0,0
2013-04-12,15,600,0,0
2013-04-19,16,565,0,0
2013-04-26,17,505,0,0
2013-05-03,18,555,0,0
2013-05-10,19,483,0,0
2013-05-17,20,484,0,0
2013-05-24,21,489,0,0
2013-05-31,22,488,0,0
2013-06-07,23,502,0,0
2013-06-14,24,468,0,0
2013-06-21,25,467,0,0
2013-06-28,26,476,0,0
2013-07-05,27,449,0,0
2013-07-12,28,413,0,0
2013-07-19,29,480,0,0
2013-07-26,30,426,0,0
2013-08-02,31,395,0,0
2013-08-09,32,417,0,0
2013-08-16,33,461,0,0
2013-08-23,34,447,0,0
2013-08-30,35,393,0,0
2013-09-06,36,485,0,0
2013-09-13,37,438,0,0
2013-09-20,38,450,0,0
2013-09-27,39,469,0,0
2013-10-04,40,526,0,0
2013-10-11,41,481,0,0
2013-10-18,42,504,0,0
2013-10-25,43,482,0,0
2013-11-01,44,523,0,0
2013-11-08,45,494,0,0
2013-11-15,46,565,0,0
2013-11-22,47,503,0,0
2013-11-29,48,523,0,0
2013-12-06,49,486,0,0
2013-12-13,50,478,0,0
2013-12-20,51,536,0,0
2013-12-27,52,374,0,0
2014-01-03,1,554,0,0
2014-01-10,2,615,0,0
2014-01-17,3,547,0,0
2014-01-24,4,573,0,0
2014-01-31,5,550,0,0
2014-02-07,6,537,0,0
2014-02-14,7,538,0,0
2014-02-21,8,590,0,0
2014-02-28,9,526,0,0
2014-03-07,10,536,0,0
2014-03-14,11,522,0,0
2014-03-21,12,516,0,0
2014-03-28,13,516,0,0
2014-04-04,14,562,0,0
2014-04-11,15,502,0,0
2014-04-18,16,443,0,0
2014-04-25,17,458,0,0
2014-05-02,18,589,0,0
2014-05-09,19,456,0,0
2014-05-16,20,482,0,0
2014-05-23,21,505,0,0
2014-05-30,22,465,0,0
2014-06-06,23,463,0,0
2014-06-13,24,471,0,0
2014-06-20,25,485,0,0
2014-06-27,26,505,0,0
2014-07-04,27,451,0,0
2014-07-11,28,487,0,0
2014-07-18,29,514,0,0
2014-07-25,30,477,0,0
2014-08-01,31,482,0,0
2014-08-08,32,440,0,0
2014-08-15,33,505,0,0
2014-08-22,34,497,0,0
2014-08-29,35,468,0,0
2014-09-05,36,530,0,0
2014-09-12,37,487,0,0
2014-09-19,38,505,0,0
2014-09-26,39,525,0,0
2014-10-03,40,525,0,0
2014-10-10,41,568,0,0
2014-10-17,42,498,0,0
2014-10-24,43,472,0,0
2014-10-31,44,496,0,0
2014-11-07,45,488,0,0
2014-11-14,46,523,0,0
2014-11-21,47,471,0,0
2014-11-28,48,517,0,0
2014-12-05,49,520,0,0
2014-12-12,50,575,0,0
2014-12-19,51,633,0,0
2014-12-26,52,438,0,0
2015-01-02,1,699,0,0
2015-01-09,2,753,0,0
2015-01-16,3,799,0,0
2015-01-23,4,798,0,0
2015-01-30,5,717,0,0
2015-02-06,6,669,0,0
2015-02-13,7,661,0,0
2015-02-20,8,669,0,0
2015-02-27,9,606,0,0
2015-03-06,10,622,0,0
2015-03-13,11,573,0,0
2015-03-20,12,566,0,0
2015-03-27,13,512,0,0
2015-04-03,14,490,0,0
2015-04-10,15,533,0,0
2015-04-17,16,626,0,0
2015-04-24,17,601,0,0
2015-05-01,18,516,0,0
2015-05-08,19,503,0,0
2015-05-15,20,544,0,0
2015-05-22,21,514,0,0
2015-05-29,22,457,0,0
2015-06-05,23,472,0,0
2015-06-12,24,528,0,0
2015-06-19,25,459,0,0
2015-06-26,26,514,0,0
2015-07-03,27,489,0,0
2015-07-10,28,491,0,0
2015-07-17,29,466,0,0
2015-07-24,30,459,0,0
2015-07-31,31,437,0,0
2015-08-07,32,462,0,0
2015-08-14,33,458,0,0
2015-08-21,34,475,0,0
2015-08-28,35,445,0,0
2015-09-04,36,438,0,0
2015-09-11,37,471,0,0
2015-09-18,38,462,0,0
2015-09-25,39,476,0,0
2015-10-02,40,495,0,0
2015-10-09,41,505,0,0
2015-10-16,42,494,0,0
2015-10-23,43,480,0,0
2015-10-30,44,523,0,0
2015-11-06,45,524,0,0
2015-11-13,46,530,0,0
2015-11-20,47,527,0,0
2015-11-27,48,512,0,0
2015-12-04,49,534,0,0
2015-12-11,50,540,0,0
2015-12-18,51,618,0,0
2015-12-25,52,480,0,0
2016-01-01,53,407,0,0
2016-01-08,1,705,0,0
2016-01-15,2,600,0,0
2016-01-22,3,612,0,0
2016-01-29,4,631,0,0
2016-02-05,5,620,0,0
2016-02-12,6,599,0,0
2016-02-19,7,588,0,0
2016-02-26,8,582,0,0
2016-03-04,9,582,0,0
2016-03-11,10,569,0,0
2016-03-18,11,552,0,0
2016-03-25,12,474,0,0
2016-04-01,13,578,0,0
2016-04-08,14,606,0,0
2016-04-15,15,594,0,0
2016-04-22,16,539,0,0
2016-04-29,17,571,0,0
2016-05-06,18,495,0,0
2016-05-13,19,547,0,0
2016-05-20,20,533,0,0
2016-05-27,21,484,0,0
2016-06-03,22,431,0,0
2016-06-10,23,542,0,0
2016-06-17,24,473,0,0
2016-06-24,25,528,0,0
2016-07-01,26,488,0,0
2016-07-08,27,507,0,0
2016-07-15,28,485,0,0
2016-07-22,29,538,0,0
2016-07-29,30,476,0,0
2016-08-05,31,467,0,0
2016-08-12,32,492,0,0
2016-08-19,33,476,0,0
2016-08-26,34,499,0,0
2016-09-02,35,398,0,0
2016-09-09,36,478,0,0
2016-09-16,37,491,0,0
2016-09-23,38,435,0,0
2016-09-30,39,481,0,0
2016-10-07,40,465,0,0
2016-10-14,41,520,0,0
2016-10-21,42,511,0,0
2016-10-28,43,530,0,0
2016-11-04,44,535,0,0
2016-11-11,45,546,0,0
2016-11-18,46,547,0,0
2016-11-25,47,536,0,0
2016-12-02,48,550,0,0
2016-12-09,49,589,0,0
2016-12-16,50,561,0,0
2016-12-23,51,679,0,0
2016-12-30,52,456,0,0
2017-01-06,1,602,0,0
2017-01-13,2,738,0,0
2017-01-20,3,676,0,0
2017-01-27,4,627,0,0
2017-02-03,5,631,0,0
2017-02-10,6,635,0,0
2017-02-17,7,610,0,0
2017-02-24,8,636,0,0
2017-03-03,9,606,0,0
2017-03-10,10,570,0,0
2017-03-17,11,581,0,0
2017-03-24,12,535,0,0
2017-03-31,13,509,0,0
2017-04-07,14,523,0,0
2017-04-14,15,410,0,0
2017-04-21,16,517,0,0
2017-04-28,17,583,0,0
2017-05-05,18,479,0,0
2017-05-12,19,551,0,0
2017-05-19,20,553,0,0
2017-05-26,21,519,0,0
2017-06-02,22,408,0,0
2017-06-09,23,514,0,0
2017-06-16,24,499,0,0
2017-06-23,25,509,0,0
2017-06-30,26,451,0,0
2017-07-07,27,495,0,0
2017-07-14,28,502,0,0
2017-07-21,29,514,0,0
2017-07-28,30,456,0,0
2017-08-04,31,507,0,0
2017-08-11,32,479,0,0
2017-08-18,33,464,0,0
2017-08-25,34,482,0,0
2017-09-01,35,434,0,0
2017-09-08,36,512,0,0
2017-09-15,37,539,0,0
2017-09-22,38,504,0,0
2017-09-29,39,507,0,0
2017-10-06,40,501,0,0
2017-10-13,41,513,0,0
2017-10-20,42,550,0,0
2017-10-27,43,509,0,0
2017-11-03,44,536,0,0
2017-11-10,45,510,0,0
2017-11-17,46,502,0,0
2017-11-24,47,550,0,0
2017-12-01,48,562,0,0
2017-12-08,49,612,0,0
2017-12-15,50,595,0,0
2017-12-22,51,719,0,0
2017-12-29,52,500,0,0
2018-01-05,1,640,0,0
2018-01-12,2,837,0,0
2018-01-19,3,783,0,0
2018-01-26,4,779,0,0
2018-02-02,5,740,0,0
2018-02-09,6,663,0,0
2018-02-16,7,612,0,0
2018-02-23,8,671,0,0
2018-03-02,9,551,0,0
2018-03-09,10,677,0,0
2018-03-16,11,614,0,0
2018-03-23,12,576,0,0
2018-03-30,13,498,0,0
2018-04-06,14,534,0,0
2018-04-13,15,631,0,0
2018-04-20,16,559,0,0
2018-04-27,17,516,0,0
2018-05-04,18,534,0,0
2018-05-11,19,510,0,0
2018-05-18,20,504,0,0
2018-05-25,21,501,0,0
2018-06-01,22,458,0,0
2018-06-08,23,548,0,0
2018-06-15,24,454,0,0
2018-06-22,25,475,0,0
2018-06-29,26,484,0,0
2018-07-06,27,477,0,0
2018-07-13,28,470,0,0
2018-07-20,29,471,0,0
2018-07-27,30,477,0,0
2018-08-03,31,486,0,0
2018-08-10,32,448,0,0
2018-08-17,33,446,0,0
2018-08-24,34,477,0,0
2018-08-31,35,437,0,0
2018-09-07,36,534,0,0
2018-09-14,37,465,0,0
2018-09-21,38,475,0,0
2018-09-28,39,483,0,0
2018-10-05,40,514,0,0
2018-10-12,41,486,0,0
2018-10-19,42,527,0,0
2018-10-26,43,526,0,0
2018-11-02,44,511,0,0
2018-11-09,45,520,0,0
2018-11-16,46,490,0,0
2018-11-23,47,511,0,0
2018-11-30,48,505,0,0
2018-12-07,49,539,0,0
2018-12-14,50,561,0,0
2018-12-21,51,625,0,0
2018-12-28,52,459,0,0
2019-01-04,1,574,0,0
2019-01-11,2,643,0,0
2019-01-18,3,627,0,0
2019-01-25,4,640,0,0
2019-02-01,5,618,0,0
2019-02-08,6,608,0,0
2019-02-15,7,569,0,0
2019-02-22,8,610,0,0
2019-03-01,9,572,0,0
2019-03-08,10,582,0,0
2019-03-15,11,527,0,0
2019-03-22,12,532,0,0
2019-03-29,13,529,0,0
2019-04-05,14,518,0,0
2019-04-12,15,510,0,0
2019-04-19,16,459,0,0
2019-04-26,17,551,0,0
2019-05-03,18,541,0,0
2019-05-10,19,484,0,0
2019-05-17,20,548,0,0
2019-05-24,21,530,0,0
2019-05-31,22,436,0,0
2019-06-07,23,554,0,0
2019-06-14,24,507,0,0
2019-06-21,25,478,0,0
2019-06-28,26,475,0,0
2019-07-05,27,437,0,0
2019-07-12,28,458,0,0
2019-07-19,29,478,0,0
2019-07-26,30,534,0,0
2019-08-02,31,536,0,0
2019-08-09,32,530,0,0
2019-08-16,33,497,0,0
2019-08-23,34,505,0,0
2019-08-30,35,466,0,0
2019-09-06,36,473,0,0
2019-09-13,37,482,0,0
2019-09-20,38,494,0,0
2019-09-27,39,538,0,0
2019-10-04,40,491,0,0
2019-10-11,41,527,0,0
2019-10-18,42,567,0,0
2019-10-25,43,540,0,0
2019-11-01,44,537,0,0
2019-11-08,45,553,0,0
2019-11-15,46,607,0,0
2019-11-22,47,582,0,0
2019-11-29,48,563,0,0
2019-12-06,49,558,0,0
2019-12-13,50,585,0,0
2019-12-20,51,670,0,0
2019-12-27,52,411,0,0
2020-01-03,1,673,0,0
2020-01-10,2,707,0,0
2020-01-17,3,647,0,0
2020-01-24,4,612,0,0
2020-01-31,5,561,0,0
2020-02-07,6,564,0,0
2020-02-14,7,573,0,0
2020-02-21,8,539,0,0
2020-02-28,9,572,0,0
2020-03-06,10,568,0,0
2020-03-13,11,590,0,0
2020-03-20,12,522,1,4
2020-03-27,13,542,15,42
2020-04-03,14,770,134,217
2020-04-10,15,849,288,411
2020-04-17,16,1155,475,406
2020-04-24,17,1103,419,367
2020-05-01,18,922,316,334
2020-05-08,19,769,271,286
2020-05-15,20,845,248,193
2020-05-22,21,718,202,193
2020-05-29,22,550,141,137
2020-06-05,23,576,113,93
2020-06-12,24,478,71,56
2020-06-19,25,498,30,28
2020-06-26,26,485,32,30
2020-07-03,27,515,28,17
2020-07-10,28,468,8,9
2020-07-17,29,445,8,5
2020-07-24,30,493,4,5
2020-07-31,31,507,5,3
2020-08-07,32,486,5,2
2020-08-14,33,520,5,5
2020-08-21,34,479,4,5
2020-08-28,35,455,2,3
2020-09-04,36,431,5,3
2020-09-11,37,502,3,5
2020-09-18,38,465,8,13
2020-09-25,39,514,13,18
2020-10-02,40,558,40,55
2020-10-09,41,544,60,67
2020-10-16,42,606,93,102
2020-10-23,43,600,114,122
2020-10-30,44,591,118,139
2020-11-06,45,675,152,151
2020-11-13,46,711,180,173
2020-11-20,47,691,185,210
2020-11-27,48,679,220,217
2020-12-04,49,645,183,157
2020-12-11,50,661,147,153
2020-12-18,51,689,143,168
2020-12-25,52,669,180,181
2021-01-01,53,547,157,183
